timestamp,message,logStreamName
1693337786401,"REPORT RequestId: 6be63cce-fa3f-4c64-8ab6-8bea842ebb60	Duration: 620.17 ms	Billed Duration: 621 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337786506,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]36006a5ca1be4959ac22495a6c812b8b
1693337786507,"END RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de
",2023/08/29/[$LATEST]36006a5ca1be4959ac22495a6c812b8b
1693337786507,"REPORT RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de	Duration: 2266.81 ms	Billed Duration: 2267 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 285.53 ms	
",2023/08/29/[$LATEST]36006a5ca1be4959ac22495a6c812b8b
1693337786558,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337786560,"END RequestId: 14cdeaa8-9927-408b-b246-ed9d305ca0b4
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337786560,"REPORT RequestId: 14cdeaa8-9927-408b-b246-ed9d305ca0b4	Duration: 2345.71 ms	Billed Duration: 2346 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	Init Duration: 266.44 ms	
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337786738,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337786759,"END RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337786759,"REPORT RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a	Duration: 2348.97 ms	Billed Duration: 2349 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 267.03 ms	
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337786863,"START RequestId: 8d272871-11a5-4c3a-b1b6-e780afa00132 Version: $LATEST
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337786864,"START RequestId: aebd4955-4985-4a6c-93cd-0708f4b2a9c2 Version: $LATEST
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337787269,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]5f44afbf1e0a4277a01aaafee7d5c64f
1693337787289,"END RequestId: 54f743c5-6e52-459f-ad91-c9e32f3a7567
",2023/08/29/[$LATEST]5f44afbf1e0a4277a01aaafee7d5c64f
1693337787289,"REPORT RequestId: 54f743c5-6e52-459f-ad91-c9e32f3a7567	Duration: 2129.06 ms	Billed Duration: 2130 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	Init Duration: 245.62 ms	
",2023/08/29/[$LATEST]5f44afbf1e0a4277a01aaafee7d5c64f
1693337787399,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337787418,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337787419,"END RequestId: 8d272871-11a5-4c3a-b1b6-e780afa00132
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337787419,"REPORT RequestId: 8d272871-11a5-4c3a-b1b6-e780afa00132	Duration: 555.44 ms	Billed Duration: 556 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337787438,"END RequestId: aebd4955-4985-4a6c-93cd-0708f4b2a9c2
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337787439,"REPORT RequestId: aebd4955-4985-4a6c-93cd-0708f4b2a9c2	Duration: 574.72 ms	Billed Duration: 575 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337787505,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337787524,"END RequestId: caccee7e-9d85-40fd-98d4-2356ac5c54c0
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337787524,"REPORT RequestId: caccee7e-9d85-40fd-98d4-2356ac5c54c0	Duration: 2291.65 ms	Billed Duration: 2292 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 267.20 ms	
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337787584,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337787605,"END RequestId: 158f07e1-350a-4441-8f0d-80d98f1e52a7
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337787605,"REPORT RequestId: 158f07e1-350a-4441-8f0d-80d98f1e52a7	Duration: 2384.69 ms	Billed Duration: 2385 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 257.73 ms	
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337788251,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337788271,"END RequestId: d2588a13-86a9-4aef-975b-06b01af58ef2
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337788271,"REPORT RequestId: d2588a13-86a9-4aef-975b-06b01af58ef2	Duration: 2267.16 ms	Billed Duration: 2268 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 254.67 ms	
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337839823,"START RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337840294,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
